(abbreviation) abbrev=ab
(adjective) adj=adj
(adverb) adv=adv
(affix) affix=af
(article) article=ar
(character) character=ch
(circumfix) circumfix=cr
(conjuction) conj=cn
(determiner) det=dt
(infix) infix=inf
(interfix) interfix=intf
(interjection) intj=int
(name) name=nm
(noun) noun=n
(numeral) num=num
(particle) particle=prt
(phrase) phrase=ph
(post position) postp=pp
(prefix) prefix=prf
(preposition) prep=prp
(prepositional phrase) prep_phrase=prpp
(pronoun) pron=prn
(pronoun) proverb=prv
(punctuation) punct=pct
(suffix) suffix=sf
(symbol) symbol=sm
(verb) verb=v
